Регион,Child_mortality_rural
Белгородская область,39.59
Брянская область,42.09
Владимирская область,27.95
Воронежская область,44.27
Ивановская область,15.36
Калужская область,23.45
Костромская область,23.77
Курская область,33.0
Липецкая область,32.77
Московская область,70.05
Орловская область,29.14
Рязанская область,27.77
Смоленская область,28.23
Тамбовская область,28.91
Тверская область,35.91
Тульская область,27.55
Ярославская область,23.0
Город Москва,30.2
Республика Карелия,13.73
Республика Коми,19.86
Ненецкий автономный округ,3.27
Архангельская область,35.75
Вологодская область,40.09
Калининградская область,18.91
Ленинградская область,32.41
Мурманская область,4.64
Новгородская область,18.64
Псковская область,22.32
Город Санкт-Петербург,28.16
Республика Адыгея,19.45
Республика Калмыкия,19.27
Республика Крым,50.43
Краснодарский край,197.73
Астраханская область,40.09
Волгоградская область,80.27
Ростовская область,162.36
Город Севастополь,31.84
Республика Дагестан,351.95
Республика Ингушетия,59.73
Кабардино-Балкарская Республика,48.23
Карачаево-Черкесская Республика,31.0
Республика Северная Осетия-Алания,30.68
Ставропольский край,127.55
Республика Башкортостан,182.41
Республика Марий Эл,30.05
Республика Мордовия,18.55
Республика Татарстан,89.45
Удмуртская Республика,58.73
Чувашская Республика,35.91
Пермский край,98.23
Кировская область,36.36
Нижегородская область,70.32
Оренбургская область,108.77
Пензенская область,34.86
Самарская область,51.73
Саратовская область,63.82
Ульяновская область,32.41
Курганская область,49.77
Свердловская область,74.64
Ханты-Мансийский автономный округ - Югра,13.91
Ямало-Ненецкий автономный округ,33.18
Тюменская область,46.3
Челябинская область,91.91
Республика Алтай,36.09
Республика Тыва,59.68
Республика Хакасия,34.59
Алтайский край,129.95
Красноярский край,128.68
Иркутская область,107.77
Кемеровская область,54.18
Новосибирская область,81.27
Омская область,77.14
Томская область,39.68
Республика Бурятия,71.0
Забайкальский край,54.14
Республика Саха (Якутия),56.18
Камчатский край,8.82
Приморский край,69.95
Хабаровский край,39.82
Амурская область,53.41
Магаданская область,0.95
Сахалинская область,8.5
Еврейская автономная область,12.86
Чукотский автономный округ,8.45
Чеченская Республика,37.95
