Регион,Disabled_18_30
Алтайский край,58804.0
Амурская область,47368.82
Архангельская область,46655.18
Астраханская область,45949.18
Белгородская область,52985.91
Брянская область,48351.36
Владимирская область,48950.32
Волгоградская область,56845.32
Вологодская область,46311.91
Воронежская область,57292.09
Город Москва,119323.14
Город Санкт-Петербург,74012.0
Город Севастополь,40436.82
Еврейская автономная область,40256.41
Забайкальский край,50890.68
Ивановская область,45812.27
Иркутская область,76139.86
Кабардино-Балкарская Республика,48692.0
Калининградская область,45847.32
Калужская область,46717.14
Камчатский край,40613.05
Карачаево-Черкесская Республика,48624.05
Кемеровская область,65194.95
Кировская область,48261.0
Костромская область,43929.86
Краснодарский край,88251.23
Красноярский край,65697.68
Курганская область,46583.82
Курская область,51926.82
Ленинградская область,49772.68
Липецкая область,48970.09
Магаданская область,39262.41
Московская область,83775.82
Мурманская область,42504.41
Ненецкий автономный округ,38663.73
Нижегородская область,64827.05
Новгородская область,43732.86
Новосибирская область,60928.36
Омская область,54870.64
Оренбургская область,57241.32
Орловская область,44874.5
Пензенская область,47581.23
Пермский край,60757.73
Приморский край,52834.36
Псковская область,44277.5
Республика Адыгея,42317.86
Республика Алтай,40989.14
Республика Башкортостан,69455.55
Республика Бурятия,50383.18
Республика Дагестан,137880.05
Республика Ингушетия,56149.09
Республика Калмыкия,43234.0
Республика Карелия,43900.41
Республика Коми,46339.55
Республика Крым,52798.55
Республика Марий Эл,45693.09
Республика Мордовия,44953.68
Республика Саха (Якутия),49872.27
Республика Северная Осетия-Алания,46399.86
Республика Татарстан,73134.05
Республика Тыва,43653.45
Республика Хакасия,42539.95
Ростовская область,81272.59
Рязанская область,48763.77
Самарская область,61554.45
Саратовская область,55369.77
Сахалинская область,42137.91
Свердловская область,74698.95
Смоленская область,46380.77
Ставропольский край,63727.73
Тамбовская область,46667.14
Тверская область,48633.41
Томская область,47885.27
Тульская область,52384.77
Тюменская область,51490.41
Удмуртская Республика,50651.36
Ульяновская область,50099.36
Хабаровский край,47890.95
Ханты-Мансийский автономный округ - Югра,49108.91
Челябинская область,68089.5
Чеченская Республика,103685.32
Чувашская Республика,48218.91
Чукотский автономный округ,38771.0
Ямало-Ненецкий автономный округ,41747.32
Ярославская область,45871.91
