Регион,Disabled_total
Алтайский край,1375675.41
Амурская область,1086782.0
Архангельская область,1142382.68
Астраханская область,1028345.41
Белгородская область,1464366.05
Брянская область,1199911.55
Владимирская область,1248538.82
Волгоградская область,1381196.09
Вологодская область,1171696.05
Воронежская область,1497314.0
Город Москва,3670565.95
Город Санкт-Петербург,2482193.77
Город Севастополь,964521.55
Еврейская автономная область,943911.5
Забайкальский край,1122958.59
Ивановская область,1122406.09
Иркутская область,1477400.05
Кабардино-Балкарская Республика,1064369.23
Калининградская область,1098172.77
Калужская область,1118478.5
Камчатский край,946089.36
Карачаево-Черкесская Республика,1047791.36
Кемеровская область,1505917.91
Кировская область,1242271.27
Костромская область,1071505.5
Краснодарский край,2050750.95
Красноярский край,1393818.95
Курганская область,1108445.09
Курская область,1232761.05
Ленинградская область,1279884.95
Липецкая область,1228445.09
Магаданская область,923180.91
Московская область,2047477.41
Мурманская область,986934.27
Ненецкий автономный округ,917430.86
Нижегородская область,1690236.32
Новгородская область,1068419.18
Новосибирская область,1403223.41
Омская область,1252904.41
Оренбургская область,1423798.14
Орловская область,1076038.05
Пензенская область,1170637.0
Пермский край,1461469.82
Приморский край,1201968.41
Псковская область,1040003.0
Республика Адыгея,1000196.05
Республика Алтай,968368.45
Республика Башкортостан,1594918.14
Республика Бурятия,1111101.73
Республика Дагестан,1719143.73
Республика Ингушетия,1059939.64
Республика Калмыкия,967727.59
Республика Карелия,1076718.18
Республика Коми,1078593.45
Республика Крым,1246710.95
Республика Марий Эл,1079406.55
Республика Мордовия,1097158.36
Республика Саха (Якутия),1052226.95
Республика Северная Осетия-Алания,1080650.64
Республика Татарстан,1678394.73
Республика Тыва,965956.45
Республика Хакасия,984702.32
Ростовская область,1868917.14
Рязанская область,1265978.05
Самарская область,1485009.0
Саратовская область,1279361.5
Сахалинская область,968007.45
Свердловская область,1650128.41
Смоленская область,1113351.68
Ставропольский край,1479033.0
Тамбовская область,1207619.95
Тверская область,1174080.59
Томская область,1074701.59
Тульская область,1309031.0
Тюменская область,1162943.82
Удмуртская Республика,1192215.45
Ульяновская область,1211495.36
Хабаровский край,1088859.05
Ханты-Мансийский автономный округ - Югра,1047969.82
Челябинская область,1507971.09
Чеченская Республика,1348356.09
Чувашская Республика,1121297.14
Чукотский автономный округ,913917.41
Ямало-Ненецкий автономный округ,946682.09
Ярославская область,1188362.09
