Регион,Morbidity_psiho
Алтайский край,2107.83
Амурская область,1584.9
Архангельская область,2317.27
Астраханская область,4295.28
Белгородская область,1566.49
Брянская область,1564.57
Владимирская область,1613.43
Волгоградская область,4017.16
Вологодская область,1615.48
Воронежская область,1705.19
Город Москва,1553.45
Город Санкт-Петербург,1527.05
Город Севастополь,2262.82
Еврейская автономная область,1600.66
Забайкальский край,1609.67
Ивановская область,1708.6
Иркутская область,1604.26
Кабардино-Балкарская Республика,3844.17
Калининградская область,1625.9
Калужская область,1542.75
Камчатский край,1638.38
Карачаево-Черкесская Республика,3855.93
Кемеровская область,1689.8
Кировская область,1632.48
Костромская область,1550.77
Краснодарский край,3952.08
Красноярский край,1669.39
Курганская область,1865.79
Курская область,1589.39
Ленинградская область,1578.3
Липецкая область,1615.18
Магаданская область,1731.74
Московская область,1540.96
Мурманская область,1613.65
Ненецкий автономный округ,1717.17
Нижегородская область,1488.14
Новгородская область,1559.12
Новосибирская область,1492.18
Омская область,1545.28
Оренбургская область,1789.08
Орловская область,1678.52
Пензенская область,1829.21
Пермский край,1698.49
Приморский край,1672.5
Псковская область,1572.96
Республика Адыгея,2227.56
Республика Алтай,1526.64
Республика Башкортостан,1560.82
Республика Бурятия,1458.5
Республика Дагестан,3914.45
Республика Ингушетия,3702.0
Республика Калмыкия,4057.7299999999996
Республика Карелия,1679.86
Республика Коми,1705.87
Республика Крым,2237.78
Республика Марий Эл,1582.17
Республика Мордовия,1707.55
Республика Саха (Якутия),1639.92
Республика Северная Осетия-Алания,1623.43
Республика Татарстан,1507.24
Республика Тыва,1446.22
Республика Хакасия,1544.83
Ростовская область,3884.47
Рязанская область,1569.88
Самарская область,1654.08
Саратовская область,1559.67
Сахалинская область,1817.24
Свердловская область,1548.08
Смоленская область,1525.47
Ставропольский край,3810.68
Тамбовская область,1566.83
Тверская область,1752.69
Томская область,1724.45
Тульская область,1557.38
Тюменская область,2260.37
Удмуртская Республика,1581.69
Ульяновская область,1552.95
Хабаровский край,1561.58
Ханты-Мансийский автономный округ - Югра,1567.25
Челябинская область,1752.72
Чеченская Республика,3891.91
Чувашская Республика,1712.21
Чукотский автономный округ,1912.45
Ямало-Ненецкий автономный округ,1700.2
Ярославская область,1545.52
