Регион,Cash_income
Белгородская область,30692.5
Брянская область,26015.5
Владимирская область,23908.33
Воронежская область,30422.83
Ивановская область,24567.83
Калужская область,29652.33
Костромская область,23997.83
Курская область,27167.83
Липецкая область,29782.0
Московская область,43506.33
Орловская область,24481.83
Рязанская область,25233.33
Смоленская область,25576.83
Тамбовская область,26593.83
Тверская область,25350.83
Тульская область,27441.83
Ярославская область,27634.67
Город Москва,68295.0
Республика Карелия,28694.33
Республика Коми,33560.5
Ненецкий автономный округ,76707.67
Архангельская область,31840.0
Вологодская область,27058.5
Калининградская область,27261.17
Ленинградская область,30088.17
Мурманская область,40922.5
Новгородская область,25706.0
Псковская область,23780.17
Город Санкт-Петербург,43499.0
Республика Адыгея,26924.67
Республика Калмыкия,17105.67
Республика Крым,20024.17
Краснодарский край,34074.5
Астраханская область,23899.5
Волгоградская область,22899.0
Ростовская область,28582.5
Город Севастополь,26865.83
Республика Дагестан,26623.33
Республика Ингушетия,16064.17
Кабардино-Балкарская Республика,20569.67
Карачаево-Черкесская Республика,18200.17
Республика Северная Осетия-Алания,23077.5
Чеченская Республика,23330.5
Ставропольский край,22733.17
Республика Башкортостан,28903.33
Республика Марий Эл,19778.33
Республика Мордовия,18784.17
Республика Татарстан,33778.33
Удмуртская Республика,24368.83
Чувашская Республика,18919.67
Пермский край,29534.33
Кировская область,22453.33
Нижегородская область,31542.67
Оренбургская область,23430.83
Пензенская область,22056.0
Самарская область,28243.0
Саратовская область,21397.5
Ульяновская область,23282.83
Курганская область,20773.83
Свердловская область,36207.33
Ханты-Мансийский автономный округ - Югра,50059.5
Ямало-Ненецкий автономный округ,78070.5
Тюменская область,28856.5
Челябинская область,24744.83
Республика Алтай,19304.17
Республика Тыва,16124.17
Республика Хакасия,21181.5
Алтайский край,22480.83
Красноярский край,29723.83
Иркутская область,24346.83
Кемеровская область,23141.67
Новосибирская область,28499.33
Омская область,25742.5
Томская область,27370.5
Республика Бурятия,24480.33
Республика Саха (Якутия),41844.83
Забайкальский край,23932.67
Камчатский край,48132.0
Приморский край,33902.0
Хабаровский край,38567.67
Амурская область,30861.5
Магаданская область,58826.83
Сахалинская область,53568.33
Еврейская автономная область,24975.5
Чукотский автономный округ,75961.83
