Регион,Socdem_deti
Белгородская область,37.25
Брянская область,38.98
Владимирская область,38.63
Воронежская область,38.05
Ивановская область,38.33
Калужская область,38.4
Костромская область,39.17
Курская область,38.39
Липецкая область,38.63
Московская область,39.65
Орловская область,38.52
Рязанская область,37.75
Смоленская область,37.77
Тамбовская область,37.8
Тверская область,38.27
Тульская область,38.72
Ярославская область,38.06
Город Москва,38.67
Республика Карелия,38.5
Республика Коми,38.4
Ненецкий автономный округ,39.91
Архангельская область,37.64
Вологодская область,38.61
Калининградская область,37.67
Ленинградская область,35.54
Мурманская область,38.8
Новгородская область,37.52
Псковская область,37.81
Город Санкт-Петербург,35.62
Республика Адыгея,38.75
Республика Калмыкия,36.37
Республика Крым,39.44
Краснодарский край,38.89
Астраханская область,38.76
Волгоградская область,38.63
Ростовская область,38.8
Город Севастополь,38.9
Республика Дагестан,38.71
Республика Ингушетия,38.7
Кабардино-Балкарская Республика,37.88
Карачаево-Черкесская Республика,37.81
Республика Северная Осетия-Алания,37.77
Чеченская Республика,39.83
Ставропольский край,38.57
Республика Башкортостан,38.75
Республика Марий Эл,37.9
Республика Мордовия,37.8
Республика Татарстан,38.91
Удмуртская Республика,39.27
Чувашская Республика,37.44
Пермский край,38.83
Кировская область,38.38
Нижегородская область,37.93
Оренбургская область,39.25
Пензенская область,38.24
Самарская область,38.66
Саратовская область,38.63
Ульяновская область,37.93
Курганская область,38.65
Свердловская область,39.25
Ханты-Мансийский автономный округ - Югра,39.95
Ямало-Ненецкий автономный округ,40.13
Тюменская область,39.93
Челябинская область,39.14
Республика Алтай,39.71
Республика Тыва,39.76
Республика Хакасия,38.66
Алтайский край,38.29
Красноярский край,38.53
Иркутская область,38.64
Кемеровская область,39.1
Новосибирская область,38.06
Омская область,39.03
Томская область,38.77
Республика Бурятия,39.37
Забайкальский край,38.24
Республика Саха (Якутия),39.68
Камчатский край,39.01
Приморский край,39.01
Хабаровский край,38.28
Амурская область,38.4
Магаданская область,38.19
Сахалинская область,38.44
Еврейская автономная область,37.66
Чукотский автономный округ,37.7
