Регион,Socdem_pens
Белгородская область,6.5
Брянская область,5.86
Владимирская область,6.36
Воронежская область,6.14
Ивановская область,6.53
Калужская область,6.82
Костромская область,6.15
Курская область,6.44
Липецкая область,6.2
Московская область,6.55
Орловская область,6.38
Рязанская область,6.45
Смоленская область,7.01
Тамбовская область,6.17
Тверская область,6.5
Тульская область,5.81
Ярославская область,6.12
Город Москва,6.94
Республика Карелия,6.18
Республика Коми,6.48
Ненецкий автономный округ,5.76
Архангельская область,6.51
Вологодская область,6.17
Калининградская область,6.87
Ленинградская область,6.44
Мурманская область,5.85
Новгородская область,6.48
Псковская область,6.45
Город Санкт-Петербург,5.82
Республика Адыгея,6.9
Республика Калмыкия,5.51
Республика Крым,6.11
Краснодарский край,6.62
Астраханская область,6.05
Волгоградская область,6.29
Ростовская область,6.05
Город Севастополь,6.05
Республика Дагестан,6.35
Республика Ингушетия,6.84
Кабардино-Балкарская Республика,7.15
Карачаево-Черкесская Республика,6.83
Республика Северная Осетия-Алания,6.87
Чеченская Республика,6.37
Ставропольский край,5.97
Республика Башкортостан,6.16
Республика Марий Эл,6.06
Республика Мордовия,6.4
Республика Татарстан,6.71
Удмуртская Республика,6.3
Чувашская Республика,6.2
Пермский край,6.1
Кировская область,6.08
Нижегородская область,6.52
Оренбургская область,6.11
Пензенская область,6.89
Самарская область,6.23
Саратовская область,6.18
Ульяновская область,6.05
Курганская область,5.89
Свердловская область,6.01
Ханты-Мансийский автономный округ - Югра,6.08
Ямало-Ненецкий автономный округ,5.35
Тюменская область,5.96
Челябинская область,5.75
Республика Алтай,5.87
Республика Тыва,5.96
Республика Хакасия,6.0
Алтайский край,6.28
Красноярский край,6.18
Иркутская область,6.26
Кемеровская область,6.07
Новосибирская область,6.44
Омская область,6.17
Томская область,5.98
Республика Бурятия,6.06
Забайкальский край,6.59
Республика Саха (Якутия),6.15
Камчатский край,5.7
Приморский край,6.17
Хабаровский край,6.62
Амурская область,6.18
Магаданская область,6.57
Сахалинская область,6.41
Еврейская автономная область,6.91
Чукотский автономный округ,5.5
