Регион,Socdem_trud
Белгородская область,35.47
Брянская область,54.78
Владимирская область,53.65
Воронежская область,58.4
Ивановская область,54.38
Калужская область,52.38
Костромская область,52.15
Курская область,54.88
Липецкая область,54.88
Московская область,47.28
Орловская область,54.42
Рязанская область,58.35
Смоленская область,55.08
Тамбовская область,59.6
Тверская область,55.1
Тульская область,56.47
Ярославская область,58.42
Город Москва,50.62
Республика Карелия,55.7
Республика Коми,54.6
Ненецкий автономный округ,49.9
Архангельская область,58.55
Вологодская область,55.08
Калининградская область,56.42
Ленинградская область,45.25
Мурманская область,55.75
Новгородская область,59.4
Псковская область,57.92
Город Санкт-Петербург,48.2
Республика Адыгея,50.35
Республика Калмыкия,46.03
Республика Крым,50.87
Краснодарский край,51.1
Астраханская область,54.9
Волгоградская область,54.3
Ростовская область,54.7
Город Севастополь,53.82
Республика Дагестан,53.55
Республика Ингушетия,50.92
Кабардино-Балкарская Республика,53.72
Карачаево-Черкесская Республика,55.88
Республика Северная Осетия-Алания,55.92
Чеченская Республика,47.32
Ставропольский край,56.4
Республика Башкортостан,54.42
Республика Марий Эл,59.65
Республика Мордовия,58.1
Республика Татарстан,50.47
Удмуртская Республика,50.78
Чувашская Республика,61.42
Пермский край,54.28
Кировская область,56.82
Нижегородская область,56.92
Оренбургская область,51.88
Пензенская область,53.25
Самарская область,54.5
Саратовская область,55.0
Ульяновская область,59.53
Курганская область,56.47
Свердловская область,52.42
Ханты-Мансийский автономный округ - Югра,48.2
Ямало-Ненецкий автономный округ,51.22
Тюменская область,49.0
Челябинская область,54.55
Республика Алтай,50.7
Республика Тыва,49.92
Республика Хакасия,55.78
Алтайский край,56.3
Красноярский край,55.5
Иркутская область,54.42
Кемеровская область,52.98
Новосибирская область,56.6
Омская область,52.82
Томская область,55.3
Республика Бурятия,51.58
Забайкальский край,54.85
Республика Саха (Якутия),49.38
Камчатский край,55.45
Приморский край,52.9
Хабаровский край,54.48
Амурская область,56.18
Магаданская область,54.95
Сахалинская область,54.42
Еврейская автономная область,56.22
Чукотский автономный округ,38.55
