Регион,Housing_live
Белгородская область,17.8
Брянская область,24.1
Владимирская область,16.1
Воронежская область,19.9
Ивановская область,18.1
Калужская область,15.5
Костромская область,14.5
Курская область,17.1
Липецкая область,16.5
Московская область,14.8
Орловская область,18.8
Рязанская область,19.0
Смоленская область,19.4
Тамбовская область,19.7
Тверская область,17.5
Тульская область,16.6
Ярославская область,15.8
Город Москва,13.8
Республика Карелия,17.1
Республика Коми,15.5
Архангельская область,16.9
Ненецкий автономный округ,20.9
Вологодская область,16.9
Калининградская область,15.6
Ленинградская область,17.0
Мурманская область,17.7
Новгородская область,17.6
Псковская область,15.0
Город Санкт-Петербург,15.7
Республика Адыгея,19.6
Республика Калмыкия,20.2
Республика Крым,19.0
Краснодарский край,18.1
Астраханская область,19.2
Волгоградская область,17.9
Ростовская область,18.2
Город Севастополь,13.7
Республика Дагестан,22.5
Республика Ингушетия,27.8
Кабардино-Балкарская Республика,18.9
Карачаево-Черкесская Республика,18.3
Республика Северная Осетия-Алания,16.4
Чеченская Республика,19.2
Ставропольский край,19.0
Республика Башкортостан,17.4
Республика Марий Эл,16.5
Республика Мордовия,20.0
Республика Татарстан,16.2
Удмуртская Республика,14.8
Чувашская Республика,14.2
Пермский край,16.0
Кировская область,14.9
Нижегородская область,17.5
Оренбургская область,19.0
Пензенская область,16.9
Самарская область,16.9
Саратовская область,17.8
Ульяновская область,17.9
Курганская область,16.7
Свердловская область,15.8
Тюменская область,18.1
Ханты-Мансийский автономный округ - Югра,13.9
Ямало-Ненецкий автономный округ,15.5
Челябинская область,16.0
Республика Алтай,14.4
Республика Тыва,13.6
Республика Хакасия,17.9
Алтайский край,18.0
Красноярский край,16.6
Иркутская область,16.3
Кемеровская область,16.3
Новосибирская область,16.3
Омская область,16.9
Томская область,16.9
Республика Бурятия,17.2
Республика Саха (Якутия),16.5
Забайкальский край,17.1
Камчатский край,15.9
Приморский край,15.7
Хабаровский край,15.4
Амурская область,17.3
Магаданская область,13.8
Сахалинская область,17.2
Еврейская автономная область,13.8
Чукотский автономный округ,14.1
