Регион,Reg_prod_mining
Алтайский край,5418837.75
Амурская область,58775378.13
Архангельская область,29868057.62
Астраханская область,172105283.13
Белгородская область,115232512.14
Брянская область,286919.94
Владимирская область,3491435.93
Волгоградская область,42309047.13
Вологодская область,518182.34
Воронежская область,5937692.92
Город Москва,1021042301.46
Город Санкт-Петербург,17450008.24
Город Севастополь,457727.27
Еврейская автономная область,6365494.34
Забайкальский край,79782683.97
Ивановская область,826638.43
Иркутская область,349237609.13
Кабардино-Балкарская Республика,243014.63
Калининградская область,15939068.3
Калужская область,3149647.97
Камчатский край,15679857.95
Карачаево-Черкесская Республика,2156742.9
Кемеровская область,648851468.06
Кировская область,1180634.58
Костромская область,487703.63
Краснодарский край,33646054.52
Красноярский край,438425792.62
Курганская область,2550657.02
Курская область,64847184.56
Ленинградская область,12510740.66
Липецкая область,5372222.77
Магаданская область,59655484.32
Московская область,11487525.34
Мурманская область,102883282.29
Ненецкий автономный округ,226028725.87
Нижегородская область,1446106.3
Новгородская область,1161746.86
Новосибирская область,45186392.95
Омская область,3504042.6
Оренбургская область,378888339.74
Орловская область,175091.84
Пензенская область,1168557.79
Пермский край,246719408.55
Приморский край,16746259.61
Псковская область,1268286.52
Республика Адыгея,2228375.6
Республика Алтай,1360154.88
Республика Башкортостан,196916826.4
Республика Бурятия,23845420.35
Республика Дагестан,3930094.78
Республика Ингушетия,986570.82
Республика Калмыкия,1388639.78
Республика Карелия,60359294.19
Республика Коми,272875741.73
Республика Крым,9973376.28
Республика Марий Эл,522363.57
Республика Мордовия,130046.71
Республика Саха (Якутия),525952615.56
Республика Северная Осетия-Алания,539575.07
Республика Татарстан,472878884.89
Республика Тыва,13324897.93
Республика Хакасия,44543768.16
Ростовская область,24767142.1
Рязанская область,1585566.4
Самарская область,231023926.06
Саратовская область,26588168.66
Сахалинская область,622100947.36
Свердловская область,67204065.02
Смоленская область,1462056.87
Ставропольский край,8977820.22
Тамбовская область,171335.02
Тверская область,897533.7
Томская область,144318240.64
Тульская область,4941156.74
Тюменская область,241736696.25
Удмуртская Республика,163034222.78
Ульяновская область,8839464.86
Хабаровский край,44511973.5
Ханты-Мансийский автономный округ - Югра,2690549125.06
Челябинская область,60005566.74
Чеченская Республика,4971206.78
Чувашская Республика,634237.67
Чукотский автономный округ,39395908.98
Ямало-Ненецкий автономный округ,1572189953.83
Ярославская область,1143112.3
