Регион,Alco
Белгородская область,91.07
Брянская область,145.76
Владимирская область,117.6
Воронежская область,122.9
Ивановская область,136.98
Калужская область,116.59
Костромская область,108.7
Курская область,129.91
Липецкая область,128.08
Московская область,94.4
Орловская область,120.33
Рязанская область,108.75
Смоленская область,133.81
Тамбовская область,106.96
Тверская область,113.56
Тульская область,117.55
Ярославская область,116.0
Город Москва,75.62
Республика Карелия,150.58
Республика Коми,141.77
Архангельская область,102.04
Ненецкий автономный округ,191.33
Вологодская область,104.37
Калининградская область,103.05
Ленинградская область,100.92
Мурманская область,112.86
Новгородская область,135.75
Псковская область,134.1
Город Санкт-Петербург,71.35
Республика Адыгея,110.62
Республика Калмыкия,97.53
Краснодарский край,93.31
Астраханская область,106.82
Волгоградская область,105.92
Ростовская область,91.89
Республика Дагестан,71.54
Республика Ингушетия,58.01
Кабардино-Балкарская Республика,94.95
Карачаево-Черкесская Республика,84.98
Республика Северная Осетия-Алания,86.92
Чеченская Республика,65.81
Ставропольский край,81.12
Республика Башкортостан,105.66
Республика Марий Эл,120.51
Республика Мордовия,124.3
Республика Татарстан,91.9
Удмуртская Республика,111.78
Чувашская Республика,126.21
Пермский край,143.4
Кировская область,113.7
Нижегородская область,101.62
Оренбургская область,129.31
Пензенская область,149.46
Самарская область,103.91
Саратовская область,106.31
Ульяновская область,134.26
Курганская область,126.18
Свердловская область,106.96
Тюменская область,116.17
Ханты-Мансийский автономный округ - Югра,115.75
Ямало-Ненецкий автономный округ,135.59
Челябинская область,118.1
Республика Алтай,119.3
Республика Тыва,100.51
Республика Хакасия,118.41
Алтайский край,138.55
Красноярский край,130.18
Иркутская область,147.82
Кемеровская область,101.33
Новосибирская область,86.17
Омская область,87.26
Томская область,97.26
Республика Бурятия,84.61
Республика Саха (Якутия),189.31
Забайкальский край,123.09
Камчатский край,135.0
Приморский край,106.55
Хабаровский край,131.78
Амурская область,120.15
Магаданская область,247.66
Сахалинская область,227.22
Еврейская автономная область,150.02
Чукотский автономный округ,331.56
Республика Крым,114.47
Город Севастополь,116.91
