Регион,Drug
Белгородская область,6.49
Брянская область,12.36
Владимирская область,10.19
Воронежская область,15.02
Ивановская область,10.3
Калужская область,9.5
Костромская область,10.81
Курская область,14.18
Липецкая область,11.5
Московская область,14.35
Орловская область,6.12
Рязанская область,12.83
Смоленская область,13.19
Тамбовская область,6.15
Тверская область,8.65
Тульская область,8.26
Ярославская область,9.68
Город Москва,12.85
Республика Карелия,7.61
Республика Коми,14.19
Архангельская область,7.32
Ненецкий автономный округ,8.89
Вологодская область,9.49
Калининградская область,8.94
Ленинградская область,14.46
Мурманская область,18.89
Новгородская область,11.55
Псковская область,10.53
Город Санкт-Петербург,15.12
Республика Адыгея,17.04
Республика Калмыкия,10.31
Краснодарский край,14.79
Астраханская область,8.82
Волгоградская область,12.39
Ростовская область,10.54
Республика Дагестан,12.92
Республика Ингушетия,6.98
Кабардино-Балкарская Республика,15.82
Карачаево-Черкесская Республика,14.58
Республика Северная Осетия-Алания,9.24
Чеченская Республика,9.51
Ставропольский край,12.82
Республика Башкортостан,9.64
Республика Марий Эл,7.8
Республика Мордовия,8.4
Республика Татарстан,11.36
Удмуртская Республика,10.15
Чувашская Республика,5.67
Пермский край,17.78
Кировская область,6.41
Нижегородская область,11.29
Оренбургская область,8.59
Пензенская область,10.71
Самарская область,15.15
Саратовская область,8.48
Ульяновская область,14.82
Курганская область,19.95
Свердловская область,22.14
Тюменская область,14.95
Ханты-Мансийский автономный округ - Югра,18.47
Ямало-Ненецкий автономный округ,15.45
Челябинская область,21.13
Республика Алтай,8.51
Республика Тыва,10.85
Республика Хакасия,14.1
Алтайский край,20.61
Красноярский край,18.13
Иркутская область,22.19
Кемеровская область,24.42
Новосибирская область,20.16
Омская область,10.66
Томская область,12.47
Республика Бурятия,7.4
Республика Саха (Якутия),8.25
Забайкальский край,8.87
Камчатский край,9.14
Приморский край,24.95
Хабаровский край,11.12
Амурская область,19.9
Магаданская область,15.91
Сахалинская область,21.93
Еврейская автономная область,25.81
Чукотский автономный округ,5.58
Республика Крым,11.91
Город Севастополь,13.04
