index,Регион,Newborn
0,Белгородская область,14792.82
1,Брянская область,12476.0
2,Владимирская область,13653.14
3,Воронежская область,19701.54
4,Ивановская область,10781.22
5,Калужская область,11059.5
6,Костромская область,8612.59
7,Курская область,11739.91
8,Липецкая область,11978.18
9,Московская область,61030.45
10,Орловская область,8859.73
11,Рязанская область,11375.0
12,Смоленская область,9946.45
13,Тамбовская область,10146.77
14,Тверская область,13125.64
15,Тульская область,13233.32
16,Ярославская область,13113.0
17,Город Москва,95206.7
18,Республика Карелия,8393.95
19,Республика Коми,11046.22
20,Ненецкий автономный округ,3773.09
21,Архангельская область,7421.27
22,Вологодская область,13638.41
23,Калининградская область,11093.04
24,Ленинградская область,13938.14
25,Мурманская область,9352.23
26,Новгородская область,8087.41
27,Псковская область,8058.5
28,Город Санкт-Петербург,45606.72
29,Республика Адыгея,7042.5
30,Республика Калмыкия,5976.77
31,Республика Крым,9852.59
32,Краснодарский край,50338.72
33,Астраханская область,13033.59
34,Волгоградская область,22733.13
35,Ростовская область,35811.35
36,Город Севастополь,4776.95
37,Республика Дагестан,39772.85
38,Республика Ингушетия,9785.45
39,Кабардино-Балкарская Республика,11856.82
40,Карачаево-Черкесская Республика,7451.08
41,Республика Северная Осетия-Алания,10291.82
42,Чеченская Республика,26811.9
43,Ставропольский край,26659.63
44,Республика Башкортостан,41104.62
45,Республика Марий Эл,9474.18
46,Республика Мордовия,8650.54
47,Республика Татарстан,38272.35
48,Удмуртская Республика,17412.54
49,Чувашская Республика,14109.0
50,Пермский край,27844.9
51,Кировская область,13949.09
52,Нижегородская область,28427.08
53,Оренбургская область,21761.81
54,Пензенская область,12697.54
55,Самарская область,28998.4
56,Саратовская область,21647.67
57,Ульяновская область,12758.64
58,Курганская область,10924.63
59,Свердловская область,42831.81
60,Ханты-Мансийский автономный округ - Югра,20672.45
61,Ямало-Ненецкий автономный округ,9072.32
62,Тюменская область,11031.77
63,Челябинская область,34520.9
64,Республика Алтай,6112.5
65,Республика Тыва,8668.77
66,Республика Хакасия,8534.86
67,Алтайский край,23362.13
68,Красноярский край,29625.17
69,Иркутская область,28113.76
70,Кемеровская область,26610.81
71,Новосибирская область,27890.76
72,Омская область,21035.54
73,Томская область,12616.91
74,Республика Бурятия,14446.95
75,Забайкальский край,14774.18
76,Республика Саха (Якутия),14224.41
77,Камчатский край,6074.27
78,Приморский край,19323.04
79,Хабаровский край,15407.86
80,Амурская область,10720.95
81,Магаданская область,4505.91
82,Сахалинская область,7762.86
83,Еврейская автономная область,4875.14
84,Чукотский автономный округ,3772.14
