Регион,Сrimes_total
Белгородская область,9673.41
Брянская область,10100.14
Владимирская область,10536.09
Воронежская область,11535.32
Ивановская область,9632.55
Калужская область,9879.77
Костромская область,9220.68
Курская область,10036.64
Город Москва,16695.91
Московская область,17804.5
Липецкая область,9677.77
Орловская область,8783.77
Рязанская область,9233.86
Смоленская область,9726.41
Тамбовская область,9944.55
Тверская область,10133.77
Тульская область,9706.68
Ярославская область,10095.05
Архангельская область,11056.05
Ненецкий автономный округ,7736.09
Город Санкт-Петербург,12722.68
Ленинградская область,10046.64
Вологодская область,11380.5
Калининградская область,9520.82
Мурманская область,9417.23
Новгородская область,9316.27
Псковская область,9199.41
Республика Карелия,9709.23
Республика Коми,11013.55
Кабардино-Балкарская Республика,8609.09
Карачаево-Черкесская Республика,8338.64
Республика Дагестан,9335.36
Республика Ингушетия,7737.18
Республика Северная Осетия-Алания,9322.27
Ставропольский край,11823.14
Чеченская Республика,7877.95
Астраханская область,10104.86
Волгоградская область,12842.64
Город Севастополь,8165.41
Ростовская область,15054.91
Краснодарский край,15733.55
Республика Адыгея,8266.0
Республика Калмыкия,8158.0
Республика Крым,10442.55
Кировская область,11670.95
Нижегородская область,13708.77
Оренбургская область,12752.68
Пензенская область,10118.0
Пермский край,15366.32
Республика Татарстан,14988.82
Республика Башкортостан,17390.55
Республика Марий Эл,8896.45
Республика Мордовия,9239.0
Самарская область,14623.32
Саратовская область,12180.86
Удмуртская Республика,12485.73
Ульяновская область,10066.41
Чувашская Республика,10139.36
Курганская область,11100.64
Свердловская область,18413.36
Тюменская область,11902.32
Ханты-Мансийский автономный округ - Югра,10733.73
Ямало-Ненецкий автономный округ,8821.73
Челябинская область,18800.05
Алтайский край,15789.64
Забайкальский край,12609.32
Иркутская область,15290.32
Кемеровская область,14405.18
Красноярский край,16498.36
Новосибирская область,13911.41
Омская область,12327.18
Республика Алтай,8720.64
Республика Бурятия,11876.14
Республика Тыва,9025.59
Республика Хакасия,9975.41
Томская область,10840.86
Амурская область,10724.27
Еврейская автономная область,8055.5
Камчатский край,8556.68
Магаданская область,8101.95
Приморский край,12800.82
Республика Саха (Якутия),10249.0
Сахалинская область,9174.77
Хабаровский край,11605.18
Чукотский автономный округ,7753.09
