index,Регион,Child_mortality_rural,Child_mortality_urban,Disabled_18_30,Disabled_31_60,Disabled_61_,Disabled_total,Morbidity_onko,Morbidity_psiho,Morbidity_total,Poverty_percent,Welfare,Cash_income,Socdem_deti,Socdem_pens,Socdem_trud,Housing_live,Population,GRP,Reg_prod_manufactor,Reg_prod_mining,Reg_prod_total,Retail,Alco,Drug,Newborn,Сrimes_drug,Сrimes_total
0,Белгородская область,39.59,63.64,52985.91,444265.82,934390.86,1464366.05,2589.46,1566.49,41564.62,13.47,15.98,30692.5,31.87,7.35,35.47,17.8,1530937.32,296532.88,521213394.48,115232512.14,1115342774.8,114915.23,91.07,6.49,14792.82,3587.91,9673.41
1,Брянская область,42.09,70.18,48351.36,384930.09,733906.64,1199911.55,2595.53,1564.57,43703.95,18.6,18.51,26015.5,41.38,3.88,54.78,24.1,1276076.05,159780.83,162419122.82,286919.94,309754960.41,109399.95,145.76,12.36,12476.0,3816.09,10100.14
2,Владимирская область,27.95,84.77,48950.32,386048.59,780816.45,1248538.82,2588.23,1613.43,50096.0,21.38,18.15,23908.33,39.45,6.6,53.65,16.1,1437729.27,188789.51,344864313.54,3491435.93,644476858.26,87961.45,117.6,10.19,13653.14,3938.05,10536.09
3,Воронежская область,44.27,114.95,57292.09,478965.55,928332.91,1497314.0,2617.92,1705.19,29806.02,18.22,17.34,30422.83,36.22,5.4,58.4,19.9,2343823.5,211082.92,348861648.08,5937692.92,744372582.31,123738.77,122.9,15.02,19701.54,4231.77,11535.32
4,Ивановская область,15.36,66.41,45812.27,350638.14,693232.23,1122406.09,2593.44,1708.6,48225.12,28.82,19.06,24567.83,37.8,7.52,54.38,18.1,1064732.36,131491.97,114110423.7,826638.43,240392889.42,88192.55,136.98,10.3,10781.22,3615.36,9632.55
5,Калужская область,23.45,61.5,46717.14,353574.41,685463.5,1118478.5,2582.6,1542.75,40337.32,17.04,16.85,29652.33,38.17,9.15,52.38,15.5,1018175.55,242196.26,551870616.59,3149647.97,1006658324.32,110888.09,116.59,9.5,11059.5,3612.95,9879.77
6,Костромская область,23.77,44.41,43929.86,339425.09,655427.09,1071505.5,2585.76,1550.77,40522.48,19.84,17.36,23997.83,42.4,5.43,52.15,14.5,675084.41,172583.59,103888073.04,487703.63,225744580.52,87367.36,108.7,10.81,8612.59,3477.41,9220.68
7,Курская область,33.0,67.27,51926.82,418276.68,729834.09,1232761.05,2587.11,1589.39,32008.34,16.55,17.91,27167.83,38.1,7.02,54.88,17.1,1148943.5,212272.59,143663528.68,64847184.56,441120044.07,104151.41,129.91,14.18,11739.91,3728.23,10036.64
8,Липецкая область,32.77,53.05,48970.09,390416.77,756334.77,1228445.09,2587.94,1615.18,38121.82,13.3,17.63,29782.0,39.45,5.7,54.88,16.5,1172690.0,264946.89,525390437.42,5372222.77,932130742.87,120019.55,128.08,11.5,11978.18,3568.59,9677.77
9,Московская область,70.05,432.64,83775.82,638580.05,1292398.09,2047477.41,2585.17,1540.96,36384.26,13.82,17.14,43506.33,45.05,7.65,47.28,14.8,7091254.36,308696.11,2048317668.35,11487525.34,3928927131.78,168525.77,94.4,14.35,61030.45,6025.14,17804.5
10,Орловская область,29.14,35.55,44874.5,341264.55,657175.55,1076038.05,2596.36,1678.52,47903.12,19.1,18.44,24481.83,38.83,6.72,54.42,18.8,789403.77,183550.51,90674817.17,175091.84,172569219.16,96507.59,120.33,6.12,8859.73,3316.59,8783.77
11,Рязанская область,27.77,65.32,48763.77,389298.82,795192.0,1265978.05,2596.77,1569.88,37149.47,19.24,17.54,25233.33,34.6,7.08,58.35,19.0,1159706.82,199314.9,229025739.72,1585566.4,447521744.29,97543.86,108.75,12.83,11375.0,3482.41,9233.86
12,Смоленская область,28.23,53.64,46380.77,357816.64,676430.82,1113351.68,2586.5,1525.47,41186.91,18.42,18.36,25576.83,34.72,10.2,55.08,19.4,988614.95,189584.82,159903673.34,1462056.87,352562191.71,103980.36,133.81,13.19,9946.45,3650.5,9726.41
13,Тамбовская область,28.91,34.73,46667.14,383127.32,745102.05,1207619.95,2588.96,1566.83,37976.85,15.8,17.66,26593.83,34.85,5.55,59.6,19.7,1090226.77,183498.42,117535005.42,171335.02,225048611.76,107379.0,106.96,6.15,10146.77,3661.36,9944.55
14,Тверская область,35.91,87.32,48633.41,372920.59,719803.14,1174080.59,2590.25,1752.69,45424.94,19.11,17.7,25350.83,37.47,7.38,55.1,17.5,1357124.86,193550.82,224073108.46,897533.7,515595956.76,104100.45,113.56,8.65,13125.64,3822.5,10133.77
15,Тульская область,27.55,88.05,52384.77,422340.82,801581.95,1309031.0,2594.16,1557.38,39375.25,14.45,18.26,27441.83,39.92,3.6,56.47,16.6,1558885.5,214493.08,518731086.55,4941156.74,974466682.76,106610.68,117.55,8.26,13233.32,3619.45,9706.68
16,Ярославская область,23.0,70.68,45871.91,361588.23,748178.5,1188362.09,2592.03,1545.52,49311.7,14.73,17.82,27634.67,36.33,5.28,58.42,15.8,1292369.95,240969.7,289165745.99,1143112.3,552575658.74,102977.18,116.0,9.68,13113.0,3736.86,10095.05
17,Город Москва,30.2,783.36,119323.14,975683.59,2542835.77,3670565.95,2578.3,1553.45,38462.61,12.05,16.75,68295.0,39.65,9.77,50.62,13.8,11619036.59,771589.26,4753555425.81,1021042301.46,11073853271.37,259127.77,75.62,12.85,95206.7,5092.82,16695.91
18,Республика Карелия,13.73,37.18,43900.41,330086.09,670008.23,1076718.18,2592.6,1679.86,56545.45,16.35,18.74,28694.33,38.72,5.62,55.7,17.1,653218.32,247449.18,84675959.16,60359294.19,283916228.48,111382.0,150.58,7.61,8393.95,3636.64,9709.23
19,Республика Коми,19.86,51.09,46339.55,350998.59,648531.86,1078593.45,2581.65,1705.87,54104.96,16.24,17.71,33560.5,38.15,7.28,54.6,15.5,907747.68,418921.62,155029590.06,272875741.73,770721048.99,126171.55,141.77,14.19,11046.22,4226.77,11013.55
