Регион,Child_mortality_rural,Disabled_31_60,Disabled_61_,Morbidity_onko,Morbidity_psiho,Morbidity_total,Poverty_percent,Cash_income,Socdem_pens,Socdem_trud,GRP,Reg_prod_mining,Reg_prod_total,Retail,Alco,Drug,Сrimes_total
Ямало-Ненецкий автономный округ,33.18,305609.59,566601.73,2574.06,1700.2,61160.98,7.4,53568.33,1.05,51.22,421542.81,79782683.97,2158960613.29,154066.41,135.59,15.45,8821.73
Ненецкий автономный округ,3.27,290876.36,555167.32,2575.69,1717.17,61160.98,11.3,53568.33,3.3,49.9,421542.81,79782683.97,397741339.73,126194.95,150.58,8.89,7736.09
Чукотский автономный округ,8.45,290518.18,551904.77,2578.72,1912.45,61160.98,14.71,53568.33,1.85,45.25,421542.81,39395908.98,115641100.84,105641.32,150.58,5.58,7753.09
Город Москва,30.2,591551.05,1020361.5,2578.3,1553.45,38462.61,12.05,53568.33,9.77,50.62,421542.81,79782683.97,2158960613.29,154066.41,75.62,12.85,16695.91
Магаданская область,0.95,294246.14,556948.91,2583.68,1731.74,42922.03,15.39,53568.33,7.75,54.95,421542.81,59655484.32,213206531.04,122143.05,150.58,15.91,8101.95
Сахалинская область,8.5,310526.64,582619.45,2596.76,1817.24,46865.69,15.64,53568.33,6.87,54.42,421542.81,79782683.97,1148747626.34,154066.41,150.58,21.93,9174.77
Ханты-Мансийский автономный округ - Югра,13.91,351824.55,614312.91,2573.85,1567.25,48932.11,9.86,50059.5,5.05,48.2,421542.81,79782683.97,2158960613.29,154066.41,115.75,18.47,10733.73
Камчатский край,8.82,301818.86,570934.0,2586.07,1638.38,44679.66,18.05,48132.0,3.0,55.45,384720.18,15679857.95,199102383.96,109651.09,135.0,9.14,8556.68
Московская область,70.05,591551.05,1020361.5,2585.17,1540.96,36384.26,13.82,43506.33,7.65,47.28,308696.11,11487525.34,2158960613.29,154066.41,94.4,14.35,16695.91
Город Санкт-Петербург,28.16,581833.64,1020361.5,2583.11,1527.05,47413.31,11.44,43499.0,3.62,48.2,421542.81,17450008.24,2158960613.29,152576.77,71.35,15.12,12722.68
Республика Саха (Якутия),56.18,353896.73,615734.5,2574.76,1639.92,54237.92,19.56,41844.83,5.43,49.38,421542.81,79782683.97,1057978932.61,132482.86,150.58,8.25,10249.0
Мурманская область,4.64,315477.05,596229.36,2589.53,1613.65,45301.55,14.93,40922.5,3.82,55.75,371413.6,79782683.97,655838338.05,135377.45,112.86,18.89,9417.23
Хабаровский край,39.82,350131.0,658113.64,2584.94,1561.58,38427.82,17.84,38567.67,8.02,54.48,300749.94,44511973.5,537919740.2,131946.32,131.78,11.12,11605.18
Свердловская область,74.64,536046.27,1006659.73,2586.14,1548.08,39628.85,13.02,36207.33,4.7,52.42,290593.97,67204065.02,2158960613.29,154066.41,106.96,22.14,16695.91
Краснодарский край,98.23,591551.05,1020361.5,2588.14,1912.45,42823.3,18.7,34074.5,8.02,51.1,235808.61,33646054.52,1419393687.4,137914.77,93.31,14.79,15733.55
Приморский край,69.95,392786.59,723624.0,2585.41,1672.5,41288.5,23.34,33902.0,5.55,52.9,261893.01,16746259.61,436428804.78,113732.59,106.55,22.19,12800.82
Республика Татарстан,89.45,552175.73,1020361.5,2586.99,1507.24,44811.39,11.78,33778.33,8.52,50.47,330548.25,79782683.97,2158960613.29,132898.18,91.9,11.36,14988.82
Республика Коми,19.86,350998.59,648531.86,2581.65,1705.87,54104.96,16.24,33560.5,7.28,54.6,418921.62,79782683.97,770721048.99,126171.55,141.77,14.19,11013.55
Архангельская область,35.75,354468.23,708535.82,2585.9300000000003,1912.45,29806.02,18.82,31840.0,7.45,58.55,194131.47,29868057.62,509357683.44,88427.77,102.04,7.32,11056.05
Нижегородская область,70.32,490053.0,1020361.5,2590.34,1488.14,45300.85,14.88,31542.67,7.5,56.92,240533.71,1446106.3,1930379869.06,126687.64,101.62,11.29,13708.77
Амурская область,53.41,348660.59,658029.14,2584.06,1584.9,41204.68,24.29,30861.5,5.62,56.18,240725.12,58775378.13,200212561.39,114297.32,120.15,19.9,10724.27
Белгородская область,39.59,444265.82,934390.86,2589.46,1566.49,41564.62,13.47,30692.5,7.35,45.25,296532.88,79782683.97,1115342774.8,114915.23,91.07,6.49,9673.41
Воронежская область,44.27,478965.55,928332.91,2597.6,1705.19,29806.02,18.22,30422.83,5.4,58.4,211082.92,5937692.92,744372582.31,123738.77,122.9,15.02,11535.32
Ленинградская область,32.41,390812.45,806576.36,2580.68,1578.3,31081.42,18.45,30088.17,7.02,45.25,318878.89,12510740.66,1504009792.2,119200.45,100.92,14.46,10046.64
Липецкая область,32.77,390416.77,756334.77,2587.94,1615.18,38121.82,13.3,29782.0,5.7,54.88,264946.89,5372222.77,932130742.87,120019.55,128.08,11.5,9677.77
Красноярский край,98.23,469038.73,826359.09,2579.04,1669.39,43253.57,18.92,29723.83,5.6,55.5,400252.05,79782683.97,2158960613.29,115866.18,130.18,18.13,16498.36
Калужская область,23.45,353574.41,685463.5,2582.6,1542.75,40337.32,17.04,29652.33,9.15,52.38,242196.26,3149647.97,1006658324.32,110888.09,116.59,9.5,9879.77
Пермский край,98.23,448358.5,919630.14,2583.95,1698.49,50535.9,15.93,29534.33,5.18,54.28,282987.5,79782683.97,1989614107.45,124223.95,143.4,17.78,15366.32
Республика Башкортостан,98.23,502649.18,990089.95,2579.21,1560.82,46890.36,15.01,28903.33,5.5,54.42,230021.06,79782683.97,2084473913.24,128387.86,105.66,9.64,16695.91
Тюменская область,46.3,371419.18,707310.77,2585.9300000000003,1912.45,29806.02,18.71,28856.5,4.43,49.0,325075.82,79782683.97,1786791450.68,99959.5,116.17,14.95,11902.32
Республика Карелия,13.73,330086.09,670008.23,2592.6,1679.86,56545.45,16.35,28694.33,5.62,55.7,247449.18,60359294.19,283916228.48,111382.0,150.58,7.61,9709.23
Ростовская область,98.23,591551.05,1020361.5,2588.5,1912.45,55632.26,17.39,28582.5,4.93,54.7,192274.56,24767142.1,1322816980.44,125862.91,91.89,10.54,15054.91
Новосибирская область,81.27,458275.45,851296.14,2591.07,1492.18,39884.01,21.38,28499.33,7.02,56.6,241567.17,45186392.95,840699992.97,116826.0,86.17,20.16,13911.41
Самарская область,51.73,490602.73,900128.36,2593.9,1654.08,51631.23,16.86,28243.0,5.88,54.5,269489.11,79782683.97,2007810309.93,132992.23,103.91,15.15,14623.32
Ярославская область,23.0,361588.23,748178.5,2592.03,1545.52,49311.7,14.73,27634.67,5.28,58.42,240969.7,1143112.3,552575658.74,102977.18,116.0,9.68,10095.05
Тульская область,27.55,422340.82,801581.95,2594.16,1557.38,39375.25,14.45,27441.83,3.6,56.47,214493.08,4941156.74,974466682.76,106610.68,117.55,8.26,9706.68
Томская область,39.68,349219.14,644873.73,2589.64,1724.45,38877.09,16.75,27370.5,4.5,55.3,304223.27,79782683.97,525877518.56,89622.91,97.26,12.47,10840.86
Калининградская область,18.91,345961.45,673640.55,2580.42,1625.9,41988.48,18.15,27261.17,9.4,56.42,251598.53,15939068.3,765656950.41,100728.59,103.05,8.94,9520.82
Курская область,33.0,418276.68,729834.09,2587.11,1589.39,32008.34,16.55,27167.83,7.02,54.88,212272.59,64847184.56,441120044.07,104151.41,129.91,14.18,10036.64
